Density,Slope,Elev.m,Ave.temp,Ave.ppt,Pct.graze,Pct.grass,Road.dens
0.032,27.2,6172,1.8,144.8,100,100,0.01
0.028,25.7,6512,1.5,159.8,98.7,98.7,0.01
0.043,31.3,6768,0.9,176.9,100,100,0.01
0.065,25.7,6813,0.5,183.6,98,100,0.01
0.023,33.1,6244,1.5,161.4,100,100,0.01
0,19.3,4087,5.1,92.9,0,93,3.03
0.021,22.9,4336,4.9,102,0,92.9,2.16
0,16.6,4173,4.9,103.1,0,82.5,3.14
0.022,37.2,5353,3.4,130.7,0,77.8,0.83
0.018,24,4699,5,99.3,0,96,1.08
0,12.5,3672,5.6,86,0,76.1,1.94
0.019,20.4,4606,3.9,113,0,84.9,2.01
0,25,5435,2.8,138.8,0,95.7,1.32
0.017,9.2,3784,6.1,75.7,0,100,2.81
0.052,33.4,5518,3.6,125.6,0,96.6,1.5
0,18.8,4858,3.8,119.8,0,100,1.89
0.022,19.3,5265,2.4,150.9,0,90.2,1.67
0.024,20.5,4847,4.8,99.3,0,98.7,2.09
0.01,22.2,4972,4.4,111.7,0,100,2.27
0.036,22.1,5243,3.6,129.3,0,55.6,1.87
0.017,21.7,5213,4.4,111.4,0,100,2.27
0,17.2,2764,6.8,97,0,100,1.6
0.045,30.5,3673,5.7,129.9,0,86.4,2.98
0.031,33.2,3855,5.3,144,0,100,2.39
0.012,37.4,4922,3.6,171.7,0,80,0.63
0.012,36.1,4557,3.9,163.9,0,90.2,1.72
0.037,29.3,5336,2.8,185.9,0,90.7,0.92
0,27.7,4357,4.5,114,0,100,2.6
0,32,4711,4.4,104.8,0,100,2.45
0,37,4377,4.1,90.8,0,94.3,1.79
0,35.7,5256,0.9,114.3,0,95.7,1.81
0.057,25.9,4369,3.4,83.3,3.6,97.3,2.29
0,19,4571,3.1,84.2,98.9,95.6,3.4
0,22.6,4549,2.8,78.9,10.3,100,2.99
0,28.5,5309,2,85.4,0,100,2.01
0,17.3,4974,2.4,82,97.1,100,3.41
0,17.7,2781,6.1,89.7,0,100,2.13
0.024,26,4194,4,118.8,0,59,2.46
0.039,33.2,5339,2.2,149.3,0,85.5,1.18
0.024,13.7,2877,6.4,89.4,10.9,93.5,1.85
0.081,26.6,4355,4.2,130.3,0,65.7,2.4
0.016,19.6,3620,5.3,115.4,0,83.6,2.3
0.024,35.6,4206,4.7,132.8,0,88.7,2.23
0.023,31.7,3850,5.8,127.4,0,97,2.86
0.105,32.2,4719,5,136.4,0,100,2.2
0.044,23.1,6609,3.7,23.9,91,7.5,0.56
0,29.8,7592,1.3,46.7,100,12.7,0.12
0.009,31.6,7948,0.9,55.3,90.5,49.2,0.26
0.012,34.8,7619,1.6,46,100,66.7,0.33
0.012,36.2,8123,1.2,55.3,0,88.3,0.02
0.065,22.8,8370,0.9,60,86.7,96.7,0.01
0,23.2,8189,1.4,56.7,100,75.7,0.01
0,24,8548,0.7,66,0,100,0.01
0.001,34.2,7358,1.9,49,40.7,85.2,0.22
0.007,15.1,6784,2.7,46.8,34.8,91.3,0.68
0.003,19,7529,1.9,54.1,47.1,67.9,0.83
0.03,18.1,7716,2,55.4,4.5,54.5,0.52
0.133,27,8754,0.5,68.8,17.6,66.7,0.19
0,23.8,8288,1.1,62.8,9.4,67.9,0.28
0.051,14.9,7501,1.7,55.6,18.8,79.2,0.84
0.016,24.6,8267,1.4,64.5,4.6,56.9,0.01
0.009,26.2,8218,1.7,69.6,93.8,60.2,0.09
0.073,26.5,8219,1.5,70.6,97.6,73.8,0.01
0.005,26,8172,1.4,61.9,0,44.6,0.34
0.071,26.4,8075,1.7,65.4,54.3,56,0.15
0.007,25.3,7837,1.9,60.1,0,67.2,0.16
0,19.5,7229,2.3,54.2,29.3,77.2,0.8
0,12.4,6813,2.9,51.4,90,46.7,2.27
0.009,15.5,7168,2.5,57.8,90,75,0.73
